;Postal Code;City;Administrative Region;Population;Area km²;Population density per km²;Median Age;Neighborhoods;Latitude;Longitude
0;10115;Berlin;Berlin;16678;2.421;6888.89;43.0;Mitte;52.5337069545604;13.387223860255002
1;10117;Berlin;Berlin;24223;3.321;7293.89;43.0;Mitte;52.51874564859892;13.390193384059415
2;10119;Berlin;Berlin;7408;0.857;8644.11;43.0;Bezirk Pankow, Mitte;52.53266576462154;13.407148978358595
3;10178;Berlin;Berlin;14069;1.872;7515.49;43.0;Mitte;52.52347430922784;13.41220333087634
4;10179;Berlin;Berlin;15897;2.183;7282.18;43.0;Luisenstadt, Mitte;52.51459093667321;13.419698932462586
5;10243;Berlin;Berlin;20440;2.847;7179.49;43.0;Bezirk Friedrichshain-Kreuzberg, Boxhagener Kiez, Friedrichshain;52.51491751420566;13.441955897093992
6;10245;Berlin;Berlin;20715;3.065;6758.56;43.0;Bezirk Friedrichshain-Kreuzberg, Boxhagener Kiez, Friedrichshain;52.503127305041154;13.466674568300292
7;10247;Berlin;Berlin;15081;2.035;7410.81;43.0;Bezirk Friedrichshain-Kreuzberg, Samariterkiez;52.518411097056536;13.468041905862796
8;10249;Berlin;Berlin;11634;1.918;6065.69;43.0;Bezirk Friedrichshain-Kreuzberg, Bezirk Pankow, Nordkiez;52.5260516533921;13.444610936681515
9;10315;Berlin;Berlin;15139;2.455;6166.6;43.0;Alt-Friedrichsfelde, Bezirk Lichtenberg;52.51103130447583;13.518035169364362
10;10317;Berlin;Berlin;26965;3.785;7124.17;43.0;Bezirk Lichtenberg, Rummelsburg, Weitlingkiez West;52.49924632098941;13.49188392238312
11;10318;Berlin;Berlin;37502;6.9;5435.07;43.0;Bezirk Lichtenberg, Karlshorst;52.48594065292906;13.531978581551575
12;10319;Berlin;Berlin;18604;3.791;4907.41;43.0;Alt-Friedrichsfelde, Bezirk Lichtenberg;52.50154612617361;13.521117804593036
13;10365;Berlin;Berlin;43308;6.6;6561.82;43.0;Bezirk Lichtenberg, Rüdigerstraße;52.52350353300477;13.502575184237369
14;10367;Berlin;Berlin;9211;1.419;6491.19;43.0;Bezirk Lichtenberg, Fennpfuhl, Rüdigerstraße;52.52445227269781;13.483322198644611
15;10369;Berlin;Berlin;11930;1.777;6713.56;43.0;Bezirk Lichtenberg, Fennpfuhl;52.53170059040256;13.47251781118107
